epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1,,,,,0.7692307829856873,7.867162704467773
0,1,,,0.6390041708946228,26.863048553466797,,
1,3,,,,,0.7692307829856873,7.72337007522583
1,3,,,0.6390041708946228,26.411544799804688,,
2,5,,,,,0.7692307829856873,7.56328010559082
2,5,,,0.636929452419281,25.98478889465332,,
3,7,,,,,0.7692307829856873,7.4035539627075195
3,7,,,0.636929452419281,25.529539108276367,,
4,9,,,,,0.7692307829856873,7.250842094421387
4,9,,,0.636929452419281,25.04240608215332,,
5,11,,,,,0.7692307829856873,7.101733207702637
5,11,,,0.636929452419281,24.641658782958984,,
6,13,,,,,0.7692307829856873,6.961815357208252
6,13,,,0.634854793548584,24.196548461914062,,
7,15,,,,,0.7692307829856873,6.8206071853637695
7,15,,,0.6307054162025452,23.73832893371582,,
8,17,,,,,0.7692307829856873,6.686112403869629
8,17,,,0.6307054162025452,23.349485397338867,,
9,19,,,,,0.7692307829856873,6.5504279136657715
9,19,,,0.6307054162025452,22.91083335876465,,
10,21,,,,,0.7692307829856873,6.4101080894470215
10,21,,,0.6327800750732422,22.458084106445312,,
11,23,,,,,0.7692307829856873,6.27142858505249
11,23,,,0.6327800750732422,22.04610824584961,,
12,25,,,,,0.7788461446762085,6.129748344421387
12,25,,,0.6286306977272034,21.594247817993164,,
13,27,,,,,0.7788461446762085,5.986223220825195
13,27,,,0.6307054162025452,21.168840408325195,,
14,29,,,,,0.7788461446762085,5.843116283416748
14,29,,,0.6286306977272034,20.74131202697754,,
15,31,,,,,0.7788461446762085,5.707526683807373
15,31,,,0.6286306977272034,20.290164947509766,,
16,33,,,,,0.7788461446762085,5.568511009216309
16,33,,,0.6286306977272034,19.860925674438477,,
17,35,,,,,0.7788461446762085,5.434078693389893
17,35,,,0.6286306977272034,19.479650497436523,,
18,37,,,,,0.7788461446762085,5.298412799835205
18,37,,,0.6244813203811646,19.036542892456055,,
19,39,,,,,0.7788461446762085,5.159952163696289
19,39,,,0.6307054162025452,18.576496124267578,,
20,40,0.692307710647583,35.37059783935547,,,,
