epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,117,,,,,,,,,,,,,,,0.27983978390693665,0.27885884046554565,1.7271921634674072,0.22170515358448029,0.26159900426864624,0.27885884046554565,0.2242828756570816
0,117,,,,,,,,0.20853222906589508,0.20855025947093964,2.084642171859741,0.2017839401960373,0.22281061112880707,0.20855025947093964,0.20152471959590912,,,,,,,
1,235,,,,,,,,,,,,,,,0.4583444595336914,0.4584769308567047,1.2869893312454224,0.3747173547744751,0.3281707465648651,0.4584769308567047,0.3756036162376404
1,235,,,,,,,,0.509563684463501,0.5095673203468323,1.1003743410110474,0.5004055500030518,0.4968334138393402,0.5095673203468323,0.500262975692749,,,,,,,
2,353,,,,,,,,,,,,,,,0.5834445953369141,0.5840387940406799,0.9075251221656799,0.5247213244438171,0.501844048500061,0.5840387940406799,0.5256119966506958
2,353,,,,,,,,0.5724872350692749,0.5723850131034851,0.9083099365234375,0.5668271780014038,0.5647292733192444,0.5723850131034851,0.5667861700057983,,,,,,,
3,471,,,,,,,,,,,,,,,0.581174910068512,0.5846418738365173,0.8813906311988831,0.5362820625305176,0.5890288949012756,0.5846418738365173,0.5354413390159607
3,471,,,,,,,,0.5936174988746643,0.5934754014015198,0.8590626120567322,0.5877262949943542,0.5868259072303772,0.5934754014015198,0.587704062461853,,,,,,,
4,589,,,,,,,,,,,,,,,0.5958611369132996,0.5955426096916199,0.8334988355636597,0.5662694573402405,0.6139919757843018,0.5955426096916199,0.5666636228561401
4,589,,,,,,,,0.6055012345314026,0.6053076386451721,0.8168307542800903,0.6010689735412598,0.6024299263954163,0.6053076386451721,0.6010851860046387,,,,,,,
5,707,,,,,,,,,,,,,,,0.42483311891555786,0.4271836578845978,1.6771695613861084,0.3828914761543274,0.435104101896286,0.4271836578845978,0.38219714164733887
5,707,,,,,,,,0.606369137763977,0.6062848567962646,0.8061734437942505,0.60059654712677,0.6013054847717285,0.6062848567962646,0.6005675196647644,,,,,,,
6,825,,,,,,,,,,,,,,,0.6056074500083923,0.6063599586486816,0.8558939099311829,0.5376479625701904,0.6324493885040283,0.6063599586486816,0.5376026034355164
6,825,,,,,,,,0.6110424995422363,0.6109810471534729,0.807723343372345,0.6053215265274048,0.6049122214317322,0.6109810471534729,0.6052626371383667,,,,,,,
7,943,,,,,,,,,,,,,,,0.620026707649231,0.6207087635993958,0.7485975623130798,0.5922657251358032,0.6131743788719177,0.6207087635993958,0.592122495174408
7,943,,,,,,,,0.628066897392273,0.6279731392860413,0.7627165913581848,0.6215593814849854,0.6271286010742188,0.6279731392860413,0.6215230822563171,,,,,,,
8,1061,,,,,,,,,,,,,,,0.5403204560279846,0.5405390858650208,1.2897493839263916,0.5165616869926453,0.5647668242454529,0.5405390858650208,0.5172539949417114
8,1061,,,,,,,,0.6404179334640503,0.640329122543335,0.7416250109672546,0.6340317130088806,0.6362989544868469,0.640329122543335,0.6340087652206421,,,,,,,
9,1179,,,,,,,,,,,,,,,0.4700934588909149,0.4696751534938812,2.213733434677124,0.4082632064819336,0.5106412172317505,0.4696751534938812,0.4099794924259186
9,1179,,,,,,,,0.7028407454490662,0.7028265595436096,0.6560329794883728,0.6987252831459045,0.6985835433006287,0.7028265595436096,0.6986925005912781,,,,,,,
