epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1,,,,,0.7846153974533081,0.5577710270881653
0,1,,,0.7927631735801697,0.5574343204498291,,
1,3,,,,,0.8153846263885498,0.5440472364425659
1,3,,,0.8092105388641357,0.5439432263374329,,
2,5,,,,,0.8615384697914124,0.5306074023246765
2,5,,,0.8256579041481018,0.5310832858085632,,
3,7,,,,,0.8769230842590332,0.5173406600952148
3,7,,,0.8289473652839661,0.5188925266265869,,
4,9,,,,,0.892307698726654,0.5044698715209961
4,9,,,0.8421052694320679,0.5069396495819092,,
5,11,,,,,0.9076923131942749,0.4921283423900604
5,11,,,0.8552631735801697,0.4953169524669647,,
6,13,,,,,0.9230769276618958,0.48033758997917175
6,13,,,0.8684210777282715,0.48438745737075806,,
7,15,,,,,0.9230769276618958,0.46905601024627686
7,15,,,0.875,0.4735950529575348,,
8,17,,,,,0.9384615421295166,0.458217591047287
8,17,,,0.8684210777282715,0.4634115695953369,,
9,19,,,,,0.9230769276618958,0.4478445053100586
9,19,,,0.8782894611358643,0.4537809193134308,,
10,21,,,,,0.9230769276618958,0.43791159987449646
10,21,,,0.8815789222717285,0.44439706206321716,,
11,23,,,,,0.9230769276618958,0.4284588694572449
11,23,,,0.8815789222717285,0.4357774257659912,,
12,25,,,,,0.9384615421295166,0.4194665849208832
12,25,,,0.8848684430122375,0.42717355489730835,,
13,27,,,,,0.9384615421295166,0.410835862159729
13,27,,,0.8881579041481018,0.4192027151584625,,
14,29,,,,,0.9384615421295166,0.4025154113769531
14,29,,,0.8881579041481018,0.4115312397480011,,
15,31,,,,,0.9384615421295166,0.394481360912323
15,31,,,0.8947368264198303,0.4042584300041199,,
16,33,,,,,0.9384615421295166,0.38681089878082275
16,33,,,0.8947368264198303,0.39729800820350647,,
17,35,,,,,0.9384615421295166,0.37949156761169434
17,35,,,0.9013158082962036,0.3905479609966278,,
18,37,,,,,0.9384615421295166,0.37250077724456787
18,37,,,0.9013158082962036,0.3841884136199951,,
19,39,,,,,0.9384615421295166,0.36589568853378296
19,39,,,0.8980262875556946,0.37813127040863037,,
20,40,0.8939393758773804,0.4021300971508026,,,,
