epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,,,0.6988416910171509,1.364932656288147
0,4,,,0.5277088284492493,1.3694722652435303,,
1,9,,,,,0.6988416910171509,1.3573421239852905
1,9,,,0.7005789875984192,1.361789345741272,,
2,14,,,,,0.6988416910171509,1.3498088121414185
2,14,,,0.7005789875984192,1.3541566133499146,,
3,19,,,,,0.6988416910171509,1.3423173427581787
3,19,,,0.7005789875984192,1.3466639518737793,,
4,24,,,,,0.6988416910171509,1.3349066972732544
4,24,,,0.7005789875984192,1.33912193775177,,
5,29,,,,,0.6988416910171509,1.3275560140609741
5,29,,,0.7005789875984192,1.331629753112793,,
6,34,,,,,0.6988416910171509,1.3202288150787354
6,34,,,0.7005789875984192,1.3242404460906982,,
7,39,,,,,0.6988416910171509,1.3129360675811768
7,39,,,0.7005789875984192,1.3168671131134033,,
8,44,,,,,0.6988416910171509,1.3056753873825073
8,44,,,0.7005789875984192,1.309555172920227,,
9,49,,,,,0.6988416910171509,1.2984278202056885
9,49,,,0.7005789875984192,1.3023302555084229,,
10,54,,,,,0.6988416910171509,1.291255235671997
10,54,,,0.7005789875984192,1.2950263023376465,,
11,59,,,,,0.6988416910171509,1.2841073274612427
11,59,,,0.7005789875984192,1.2878273725509644,,
12,64,,,,,0.6988416910171509,1.2769936323165894
12,64,,,0.7005789875984192,1.2806347608566284,,
13,69,,,,,0.6988416910171509,1.2699264287948608
13,69,,,0.7005789875984192,1.2734301090240479,,
14,74,,,,,0.6988416910171509,1.2628591060638428
14,74,,,0.7005789875984192,1.2663558721542358,,
15,79,,,,,0.6988416910171509,1.2558248043060303
15,79,,,0.7005789875984192,1.2592878341674805,,
16,84,,,,,0.6988416910171509,1.2488285303115845
16,84,,,0.7005789875984192,1.2522368431091309,,
17,89,,,,,0.6988416910171509,1.241886019706726
17,89,,,0.7005789875984192,1.245193362236023,,
18,94,,,,,0.6988416910171509,1.2349523305892944
18,94,,,0.7005789875984192,1.238276720046997,,
19,99,,,,,0.6988416910171509,1.2280571460723877
19,99,,,0.7005789875984192,1.2313493490219116,,
20,100,0.699999988079071,1.227289080619812,,,,
