epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1,,,,,0.478723406791687,1.0659056901931763
0,1,,,0.11441647261381149,1.3515900373458862,,
1,3,,,,,0.521276593208313,0.9133321642875671
1,3,,,0.44393593072891235,1.0443081855773926,,
2,5,,,,,0.6170212626457214,0.84498131275177
2,5,,,0.5835240483283997,0.8925487399101257,,
3,7,,,,,0.7553191781044006,0.7968034148216248
3,7,,,0.6727688908576965,0.8310431838035583,,
4,9,,,,,0.8191489577293396,0.7498747706413269
4,9,,,0.7459954023361206,0.7817080616950989,,
5,11,,,,,0.8723404407501221,0.7085892558097839
5,11,,,0.768878698348999,0.761962890625,,
6,13,,,,,0.8936170339584351,0.6696377396583557
6,13,,,0.8260869383811951,0.706630289554596,,
7,15,,,,,0.914893627166748,0.6296621561050415
7,15,,,0.8283752799034119,0.6578308343887329,,
8,17,,,,,0.9042553305625916,0.5915864109992981
8,17,,,0.8421052694320679,0.6344320774078369,,
9,19,,,,,0.9042553305625916,0.5551262497901917
9,19,,,0.8512585759162903,0.5912067294120789,,
10,21,,,,,0.9042553305625916,0.5202378630638123
10,21,,,0.8649885654449463,0.5525470972061157,,
11,23,,,,,0.9042553305625916,0.48769399523735046
11,23,,,0.8581235408782959,0.5269357562065125,,
12,25,,,,,0.9042553305625916,0.45981818437576294
12,25,,,0.8512585759162903,0.4898379147052765,,
13,27,,,,,0.8936170339584351,0.4356643557548523
13,27,,,0.8604118824005127,0.4669225811958313,,
14,29,,,,,0.8936170339584351,0.415275901556015
14,29,,,0.8718535304069519,0.4399014115333557,,
15,31,,,,,0.9042553305625916,0.397580087184906
15,31,,,0.8718535304069519,0.41150856018066406,,
16,33,,,,,0.8936170339584351,0.3797968924045563
16,33,,,0.8672769069671631,0.40012407302856445,,
17,35,,,,,0.8936170339584351,0.36204439401626587
17,35,,,0.8672769069671631,0.37842217087745667,,
18,37,,,,,0.8829787373542786,0.34473511576652527
18,37,,,0.8741418719291687,0.3737200200557709,,
19,39,,,,,0.9042553305625916,0.3301152288913727
19,39,,,0.8764302134513855,0.351388543844223,,
20,40,0.8510638475418091,0.38217008113861084,,,,
