epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.5862069129943848,0.5,0.6844829320907593,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
0,0,0.5813953280448914,0.5,0.6890525817871094,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
1,1,,,,,,,,0.5862069129943848,0.5,0.6800112724304199,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
1,1,0.5813953280448914,0.5,0.6830294132232666,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
2,2,,,,,,,,0.5862069129943848,0.5,0.6760475635528564,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
2,2,0.5813953280448914,0.5,0.6767943501472473,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
3,3,,,,,,,,0.5862069129943848,0.5,0.6723756194114685,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
3,3,0.5813953280448914,0.5,0.6693587899208069,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
4,4,,,,,,,,0.5862069129943848,0.5,0.6693090796470642,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
4,4,0.5813953280448914,0.5,0.6593894362449646,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
5,5,,,,,,,,0.5862069129943848,0.5,0.6668944358825684,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
5,5,0.5813953280448914,0.5,0.6495944857597351,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
6,6,,,,,,,,0.5862069129943848,0.5,0.6647046208381653,0.3695652186870575,0.2931034564971924,0.5,0.43328335881233215
6,6,0.5813953280448914,0.5,0.6344619989395142,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
7,7,,,,,,,,0.6206896305084229,0.5416666865348816,0.6624389886856079,0.4547008275985718,0.8035714626312256,0.5416666865348816,0.5065723061561584
7,7,0.5813953280448914,0.5,0.6137514710426331,0.3676470220088959,0.2906976640224457,0.5,0.4274965226650238,,,,,,,
8,8,,,,,,,,0.5862069129943848,0.5122548937797546,0.6593970060348511,0.4350649118423462,0.5462962985038757,0.5122548937797546,0.4854455590248108
8,8,0.5930232405662537,0.5138888955116272,0.5882279276847839,0.39739739894866943,0.7941176891326904,0.5138888955116272,0.45329052209854126,,,,,,,
9,9,,,,,,,,0.6206896305084229,0.5539215803146362,0.6564338207244873,0.5054263472557068,0.6410256624221802,0.5539215803146362,0.5465918183326721
9,9,0.6976743936538696,0.6388888955116272,0.5601643919944763,0.614216685295105,0.8289473652839661,0.6388888955116272,0.6434268951416016,,,,,,,
10,10,,,,,,,,0.5862069129943848,0.5245097875595093,0.6565920114517212,0.4821428656578064,0.550000011920929,0.5245097875595093,0.5221675038337708
10,10,0.7674418687820435,0.7300000190734863,0.5414942502975464,0.7352216243743896,0.8136363625526428,0.7300000190734863,0.7502577304840088,,,,,,,
11,11,,,,,,,,0.5862069129943848,0.5245097875595093,0.6628482937812805,0.4821428656578064,0.550000011920929,0.5245097875595093,0.5221675038337708
11,11,0.8139534592628479,0.7855555415153503,0.4999891221523285,0.7952380776405334,0.8454301357269287,0.7855555415153503,0.8053156137466431,,,,,,,
12,12,,,,,,,,0.5862069129943848,0.5245097875595093,0.6674684882164001,0.4821428656578064,0.550000011920929,0.5245097875595093,0.5221675038337708
12,12,0.8372092843055725,0.8172222375869751,0.4752292335033417,0.8258101940155029,0.8516010046005249,0.8172222375869751,0.8330641984939575,,,,,,,
13,13,,,,,,,,0.5862069129943848,0.5245097875595093,0.6570911407470703,0.4821428656578064,0.550000011920929,0.5245097875595093,0.5221675038337708
13,13,0.8488371968269348,0.8350000381469727,0.43526729941368103,0.8410803079605103,0.8536657094955444,0.8350000381469727,0.846795916557312,,,,,,,
14,14,,,,,,,,0.7586206793785095,0.7328431606292725,0.6343143582344055,0.7387387752532959,0.7638888955116272,0.7328431606292725,0.751164972782135
14,14,0.8604651093482971,0.8488888740539551,0.38299617171287537,0.8540724515914917,0.8634259700775146,0.8488888740539551,0.8590444922447205,,,,,,,
15,15,,,,,,,,0.7586206793785095,0.7328431606292725,0.6116341352462769,0.7387387752532959,0.7638888955116272,0.7328431606292725,0.751164972782135
15,15,0.8488371968269348,0.8427777886390686,0.3411697447299957,0.8440942764282227,0.8456583023071289,0.8427777886390686,0.8485209345817566,,,,,,,
16,16,,,,,,,,0.7586206793785095,0.7328431606292725,0.600148618221283,0.7387387752532959,0.7638888955116272,0.7328431606292725,0.751164972782135
16,16,0.895348846912384,0.894444465637207,0.3091427981853485,0.8929016590118408,0.8916161060333252,0.894444465637207,0.8955371379852295,,,,,,,
17,17,,,,,,,,0.7931034564971924,0.7622548937797546,0.5870195627212524,0.7710525989532471,0.8184523582458496,0.7622548937797546,0.7833030223846436
17,17,0.9069767594337463,0.9005555510520935,0.2564675211906433,0.9036414623260498,0.9078054428100586,0.9005555510520935,0.9065598249435425,,,,,,,
