epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1,,,,,0.7884615659713745,0.9973818063735962
0,1,,,0.5746887922286987,2.604227304458618,,
1,3,,,,,0.7692307829856873,0.8394731879234314
1,3,,,0.6576763391494751,2.2592613697052,,
2,5,,,,,0.7980769276618958,0.6585975289344788
2,5,,,0.6182572841644287,2.9347267150878906,,
3,7,,,,,0.4423076808452606,1.5513354539871216
3,7,,,0.54356849193573,2.3927934169769287,,
4,9,,,,,0.6057692170143127,1.1740933656692505
4,9,,,0.5165975093841553,3.07527756690979,,
5,11,,,,,0.807692289352417,1.1418570280075073
5,11,,,0.5809128880500793,3.466768264770508,,
6,13,,,,,0.7884615659713745,1.2529288530349731
6,13,,,0.6659750938415527,3.498917818069458,,
7,15,,,,,0.7884615659713745,1.249383807182312
7,15,,,0.6742738485336304,3.534205198287964,,
8,17,,,,,0.7596153616905212,1.1515589952468872
8,17,,,0.682572603225708,2.6749327182769775,,
9,19,,,,,0.7307692170143127,1.030137538909912
9,19,,,0.6763485670089722,2.3109586238861084,,
10,21,,,,,0.692307710647583,1.0890591144561768
10,21,,,0.6846473217010498,1.7976243495941162,,
11,23,,,,,0.5480769276618958,0.9443770051002502
11,23,,,0.6265560388565063,2.0543911457061768,,
12,25,,,,,0.4326923191547394,1.2360877990722656
12,25,,,0.6182572841644287,1.1433898210525513,,
13,27,,,,,0.4423076808452606,1.2068082094192505
13,27,,,0.5394191145896912,1.800365686416626,,
14,29,,,,,0.5288461446762085,0.8602929711341858
14,29,,,0.5373443961143494,1.730966329574585,,
15,31,,,,,0.7692307829856873,0.6587397456169128
15,31,,,0.5705394148826599,1.14775550365448,,
16,33,,,,,0.7884615659713745,0.669418454170227
16,33,,,0.6597510576248169,1.2336369752883911,,
17,35,,,,,0.7884615659713745,0.6795151233673096
17,35,,,0.6950207352638245,1.2295154333114624,,
18,37,,,,,0.7884615659713745,0.6724830865859985
18,37,,,0.7053942084312439,1.3595213890075684,,
19,39,,,,,0.7884615659713745,0.6384435892105103
19,39,,,0.6991701126098633,1.3293918371200562,,
20,40,0.6153846383094788,2.2164089679718018,,,,
