dataset,metric,lr,mlp,cpd,mba,tt,tr,rf
asia_lung,test_acc,0.9994999885559082,0.9994999885559082,0.9992499828338623,0.9994999885559082,0.9994999885559082,0.9992499828338623,0.9995
balance_scale,test_acc,0.8659999966621399,0.9799999713897705,0.9359999775886536,0.8799999594688416,0.871999990940094,0.9079999566078186,0.844
car_evaluation,test_acc,0.8821770668029785,0.9869879126548767,0.9472584128379822,0.9609689712524414,0.9725343942642212,0.9725396275520325,0.9660257416418144
census_income_kdd,test_acc,0.9531383037567138,0.9544915318489074,0.9507952213287354,0.9510750651359559,0.9476409554481506,0.9512588262557984,0.9545875950527118
cleveland,test_acc,0.5884353756904602,0.5391156435012817,0.5926020383834839,0.5514455735683441,0.5432823061943054,0.5842687129974365,0.5180272108843538
conf_ad,test_acc,0.86307692527771,0.8730769276618957,0.8730769276618957,0.8780769228935241,0.8370512843132019,0.8678205132484436,0.8424358974358974
connect_4,test_acc,0.7575027942657471,0.8455019950866699,0.8098841071128845,0.8034246802330017,0.6583095908164978,0.8448543429374695,0.8015763322595202
coronary,test_acc,0.8587939381599426,0.8587939381599426,0.8587939381599426,0.8587939381599426,0.8587939381599426,0.8587939381599426,0.8615104346823476
credit_approval,test_acc,0.7285831034183502,0.7428009629249572,0.8659459471702575,0.8659623146057129,0.5543489098548889,0.8731695413589478,0.883980343980344
dmft,test_acc,0.24761905670166015,0.24575023353099817,0.22682839632034302,0.247565147280693,0.22118598520755767,0.2475831091403961,0.24566037735849053
german_gss,test_acc,0.875,0.896875,0.89375,0.90625,0.896875,0.909375,0.8875
hayesroth,test_acc,0.6155844271183014,0.5883116960525513,0.7021645128726959,0.7558441638946534,0.6727272868156433,0.7744588851928711,0.7541125541125541
house_votes_84,test_acc,0.9065735042095184,0.9541614770889282,0.9312215328216553,0.9569772243499756,0.6149482488632202,0.9512629389762879,0.9541614906832298
krkopt,test_acc,0.4011583924293518,0.8322120785713196,0.7501893520355225,0.7160614848136901,0.6921363234519958,0.7862330079078674,0.7850746268656716
led7,test_acc,0.7390625,0.738671875,0.74140625,0.737890625,0.730078125,0.737109375,0.740625
mofn,test_acc,1.0,1.0,1.0,1.0,0.7792452931404114,1.0,0.9783018867924529
nursery,test_acc,0.9262088656425476,0.9998071312904357,0.9998070955276489,0.9998070955276489,0.3333654820919037,1.0,0.9856279082532874
parity5p5,test_acc,0.5100000143051148,0.798888909816742,0.4666666567325592,0.5033333480358124,0.5,0.4800000011920929,0.52
phiusiil_phishing,test_acc,0.999109399318695,0.999774694442749,0.9999363780021667,0.9999310970306396,0.6787910461425781,0.9999098777770996,0.9999893977947412
ppd,test_acc,0.7323809742927552,0.7190476417541504,0.6895238399505615,0.7323809742927552,0.7323809742927552,0.7038095474243165,0.6342857142857143
primary_tumor,test_acc,0.524319726228714,0.5041666626930237,0.5244047582149506,0.5202380955219269,0.2809523820877075,0.5325680315494538,0.5124149659863946
ptumor,test_acc,0.8527272701263428,0.8418181777000427,0.8237037181854248,0.8599999904632568,0.7537373900413513,0.841616153717041,0.8309090909090908
rt_iot2022,test_acc,0.9365139126777648,0.7901597619056702,0.9960149675607681,,0.9958677649497986,0.9957459330558777,0.9980709459062618
secondary_mushroom,test_acc,0.8632103562355041,1.0,0.9997953176498413,1.0,0.5549164891242981,0.9999590635299682,0.9997339106471476
sensorless_drive,test_acc,0.826461386680603,0.9467610478401184,0.9836779832839966,0.988719892501831,0.09092462807893749,0.9876517057418823,0.9983549747470499
sensory,test_acc,0.6204301238059997,0.6181393384933471,0.5812295556068421,0.6658952951431274,0.5856942772865296,0.6355072617530823,0.6940860215053763
shuttle,test_acc,0.9272629261016846,0.9965517282485962,0.9976724147796631,0.9977801680564881,0.7859698176383972,0.9974137902259826,0.999655172413793
skin_segmentation,test_acc,0.9198143184185028,0.9993011832237244,0.9904359221458435,0.9904155135154724,0.9903402924537659,0.9904104113578797,0.999479714152778
three_of_nine,test_acc,0.812195086479187,0.9536584973335266,0.814634096622467,0.9243902444839478,0.5341463088989258,0.9170730948448181,0.9585365853658537
vehicle,test_acc,0.8214285850524903,0.8678571462631226,0.7928571462631225,0.7964285850524903,0.6678571462631225,0.8428571462631226,0.7928571428571429
xd6,test_acc,0.8163854360580445,1.0,0.9576757669448852,1.0,0.6688089489936828,1.0,1.0
AVERAGE,test_acc,0.7861501211120236,0.8410381662268793,0.8289420069225373,0.8349718786279361,0.6775616312699934,0.8448548315032836,0.836809065695936
asia_lung,test_balanced_acc,0.9962264060974121,0.9962264060974121,0.9943396091461182,0.9962264060974121,0.9962264060974121,0.9960925340652466,0.9962264150943397
balance_scale,test_balanced_acc,0.6262103199958802,0.949896490573883,0.7812937736511231,0.6363860845565796,0.6650400876998901,0.6772356033325195,0.6102991057662658
car_evaluation,test_balanced_acc,0.615921926498413,0.9818617820739746,0.868572449684143,0.8687891840934754,0.9174863457679748,0.9436874508857727,0.9128646279098875
census_income_kdd,test_balanced_acc,0.6912598848342896,0.7126647710800171,0.6759910821914673,0.6847838044166565,0.6336812227964401,0.6868939399719238,0.71774587494718
cleveland,test_balanced_acc,0.30708831250667573,0.2088461577892303,0.31490312516689295,0.2553276419639587,0.20000000298023218,0.31206837594509124,0.23548433048433043
conf_ad,test_balanced_acc,0.49428571462631227,0.5,0.5,0.5371428608894349,0.5136134445667266,0.531260508298874,0.48243697478991593
connect_4,test_balanced_acc,0.5182756185531616,0.696800696849823,0.6098974347114563,0.6204609274864197,0.3333333432674408,0.6972529649734497,0.5908076974220656
coronary,test_balanced_acc,0.5,0.5,0.5,0.5,0.5,0.5,0.5175827353982179
credit_approval,test_balanced_acc,0.7264371633529663,0.7238652110099792,0.8630452513694763,0.8590592861175537,0.5,0.8687467932701111,0.8781572648096786
dmft,test_balanced_acc,0.24472982883453365,0.2339139729738235,0.2231178402900696,0.23631707727909088,0.1913243144750595,0.23708662688732143,0.24525477329687853
german_gss,test_balanced_acc,0.7722584962844848,0.8506938695907593,0.8327483057975769,0.8557006597518921,0.8537686824798584,0.8638367414474487,0.8055782312925169
hayesroth,test_balanced_acc,0.5964814782142639,0.622777795791626,0.6961111128330231,0.7427777767181396,0.6396296381950378,0.7694444537162781,0.787037037037037
house_votes_84,test_balanced_acc,0.8994507938623428,0.9530330896377563,0.9287735223770142,0.9538381218910217,0.5,0.9491869568824768,0.9530330995447274
krkopt,test_balanced_acc,0.40117092728614806,0.7480230212211609,0.7334271669387817,0.6892379999160767,0.4968802571296692,0.7621864438056946,0.7713720027945434
led7,test_balanced_acc,0.7361318826675415,0.7371860623359681,0.7382049202919007,0.735351049900055,0.7290943145751954,0.7346920371055603,0.738741705745216
mofn,test_balanced_acc,1.0,1.0,1.0,1.0,0.5,1.0,0.9508788159111934
nursery,test_balanced_acc,0.8654949545860291,0.9998533725738525,0.9998494029045105,0.9989832878112793,0.25,1.0,0.9679101416700557
parity5p5,test_balanced_acc,0.5108892798423768,0.7988764047622681,0.46708291172981264,0.5034440636634827,0.5,0.47981191277503965,0.519667860229658
phiusiil_phishing,test_balanced_acc,0.9990812540054321,0.9997485131025314,0.9999334692955018,0.9999241828918457,0.6248452216386795,0.9999025225639343,0.9999876176324914
ppd,test_balanced_acc,0.5,0.49090909361839297,0.4718181788921356,0.5,0.5,0.4800000011920929,0.4336363636363637
primary_tumor,test_balanced_acc,0.4199234127998352,0.381295371055603,0.4215384662151337,0.4261005759239197,0.0909090936183929,0.4374125897884369,0.4197202797202797
ptumor,test_balanced_acc,0.7555883049964904,0.69378182888031,0.6967971205711365,0.7651702046394349,0.5,0.7529750823974609,0.6859153042079871
rt_iot2022,test_balanced_acc,0.7017022371292114,0.1411588594317436,0.9075659811496735,,0.9097296714782714,0.9223702430725098,0.9578907923641973
secondary_mushroom,test_balanced_acc,0.8628394722938537,1.0,0.9997928023338318,1.0,0.5,0.9999540090560913,0.9997147319467563
sensorless_drive,test_balanced_acc,0.8264556765556336,0.9467586278915405,0.9836777806282043,0.9887197852134705,0.0909090936183929,0.9876517176628112,0.9983549267688888
sensory,test_balanced_acc,0.573264354467392,0.5693132519721985,0.5942795038223266,0.6286999464035035,0.5,0.6365422129631042,0.6614859799070325
shuttle,test_balanced_acc,0.5368817567825317,0.6074642539024353,0.6681045293807983,0.6477148175239563,0.1428571492433548,0.659131932258606,0.8667085927984948
skin_segmentation,test_balanced_acc,0.8860933631658554,0.9995046496391297,0.9808223724365235,0.9807822823524475,0.9805717468261719,0.9807518482208252,0.9994903159849565
