dataset,metric,lr,mlp,cpd,mba,tt,tt3,tr,rf
car_evaluation,total_seconds,60.23513313354924,46.40821114203427,39.62031005898025,46.87463871603832,36.858136454317716,,41.0694890413899,
census_income_kdd,total_seconds,,269.7118939519627,,,417.8791495744139,,235.0419549650202,
cleveland,total_seconds,35.35917303338647,37.06700232559815,28.607841375819408,19.588765120622703,31.013613559585064,,35.19701512521133,
conf_ad,total_seconds,25.830772028164937,53.25929570796434,36.23688684361987,21.464977768668906,22.385572969401256,,22.401334690488873,
connect_4,total_seconds,37.07169496659189,76.11686871061102,101.40708919002209,479.34688531146384,93.37681215777994,,208.75817530793137,
coronary,total_seconds,15.95784595347941,24.71800633596722,24.30899149540346,18.5411655489821,26.720959352049977,,18.19626840399578,
credit_approval,total_seconds,20.892160469200462,27.79756868763361,28.066830460797064,34.398085848172194,16.552858190611005,,38.797487024916336,
dmft,total_seconds,14.372861932730302,12.657376642385497,38.45887079578824,22.23651571921073,14.57760841702111,,12.524944593198597,
german_gss,total_seconds,56.721097531635316,27.629279703949578,37.376049239840356,45.07248373283073,37.75227087498642,,22.448743561049923,
hayesroth,total_seconds,37.95753825418651,46.44520591676701,32.485015755076894,44.699862428405325,31.4538772218395,,43.72795003438368,
house_votes_84,total_seconds,4.118212020013016,70.97528314141091,38.588121457002124,49.808247557026334,32.93819459644146,,44.56980802468024,
krkopt,total_seconds,72.57747699515895,100.75520248264074,45.556619975576176,74.4757671132451,43.575679749809204,,42.62261993205175,
led7,total_seconds,50.12533976482227,21.19401663641911,22.88946623818483,18.56830723483581,31.8264038417954,,16.05892041842453,
mofn,total_seconds,58.96271276394837,16.907955045369455,38.779105159989555,49.36437894939445,33.937734100641684,,36.74358101845719,
nursery,total_seconds,77.43713850202039,64.93586618644186,48.88824457984883,64.97758242853452,45.07584531414322,,58.10580231850035,
parity5p5,total_seconds,20.444253784185275,33.19683791736607,22.41598197480198,15.856992024439387,12.601154004223645,,13.630770774465054,
phiusiil_phishing,total_seconds,,135.43190463897773,,,262.87754047099736,,231.0423778215656,
ppd,total_seconds,12.474742597062141,14.570781099423765,26.197605635016224,13.638630727259443,37.425590068055314,,12.929157352168113,
primary_tumor,total_seconds,49.573521236982195,26.821304625831544,36.8130374844186,47.52062402619049,44.106615404505284,,50.09631357104517,
ptumor,total_seconds,48.19940158789977,27.81516983199399,31.6831595112104,37.9043771261815,42.79331444459967,,28.280162592697888,
rt_iot2022,total_seconds,,121.39330065459944,251.73558352540712,5820.021430883464,447.5392274324084,,217.8045985505916,
secondary_mushroom,total_seconds,74.78037753105164,58.448295150790365,83.30854774597101,389.7894891019678,62.88625963428058,,129.77472466994078,
sensorless_drive,total_seconds,118.75532388780266,80.44405570516828,53.18476658423897,800.7334395194193,66.92732137343846,,97.82003761995584,
sensory,total_seconds,21.4039849170018,15.106268832576461,12.411376731400377,36.556033676560034,16.611324770469217,,13.857674192497507,
shuttle,total_seconds,108.3872612534091,35.23580859883223,45.000392940780145,54.972402993659486,104.66951308278367,,40.253027699841184,
skin_segmentation,total_seconds,92.56476212101988,,,127.74118508500979,130.24169813399203,,122.10748426355421,
three_of_nine,total_seconds,46.36486797574908,37.20223757824861,22.54187288817484,48.553781741065904,13.888439833978191,,38.14028631229885,
vehicle,total_seconds,58.55183379724622,15.578456997033209,27.60863696918823,47.138229258428325,30.985504161193965,,31.179300505761056,
xd6,total_seconds,30.654806150309742,29.02623862961773,32.26786485037301,50.79602939041797,26.036304272618146,,43.630711416900155,
AVERAGE,total_seconds,48.95826072910693,53.13797471133914,45.028881019032895,293.8998455227865,73.66462646164415,,65.05949656681973,
