epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.5833333730697632,0.5,0.8434174656867981,0.3684210479259491,0.2916666567325592,0.5,0.429824560880661
0,0,,,,,,,,0.7777777910232544,0.5357142686843872,0.6500463485717773,0.5192307829856873,0.645348846912384,0.5357142686843872,0.7150997519493103,,,,,,,
1,1,,,,,,,,,,,,,,,0.5833333730697632,0.5,0.9327712059020996,0.3684210479259491,0.2916666567325592,0.5,0.429824560880661
1,1,,,,,,,,0.7777777910232544,0.5,0.5190660357475281,0.4375,0.3888888955116272,0.5,0.6805555820465088,,,,,,,
2,2,,,,,,,,,,,,,,,0.5833333730697632,0.5,0.8453888297080994,0.3684210479259491,0.2916666567325592,0.5,0.429824560880661
2,2,,,,,,,,0.7777777910232544,0.5,0.5115617513656616,0.4375,0.3888888955116272,0.5,0.6805555820465088,,,,,,,
3,3,,,,,,,,,,,,,,,0.5,0.4571428596973419,0.756938636302948,0.4375000298023224,0.444444477558136,0.4571428596973419,0.4687500298023224
3,3,,,,,,,,0.7777777910232544,0.5,0.4526022672653198,0.4375,0.3888888955116272,0.5,0.6805555820465088,,,,,,,
4,4,,,,,,,,,,,,,,,0.4166666567325592,0.3857142925262451,0.7804100513458252,0.3777778148651123,0.375,0.3857142925262451,0.4037037193775177
4,4,,,,,,,,0.8222222328186035,0.6714285612106323,0.4259275794029236,0.6959459781646729,0.7564102411270142,0.6714285612106323,0.804804801940918,,,,,,,
5,5,,,,,,,,,,,,,,,0.4166666567325592,0.3857142925262451,0.813791036605835,0.3777778148651123,0.375,0.3857142925262451,0.4037037193775177
5,5,,,,,,,,0.800000011920929,0.7285714149475098,0.4148247241973877,0.7204968929290771,0.7139037847518921,0.7285714149475098,0.8033126592636108,,,,,,,
6,6,,,,,,,,,,,,,,,0.4166666567325592,0.3857142925262451,0.8681499361991882,0.3777778148651123,0.375,0.3857142925262451,0.4037037193775177
6,6,,,,,,,,0.8222222328186035,0.6714285612106323,0.3705272376537323,0.6959459781646729,0.7564102411270142,0.6714285612106323,0.804804801940918,,,,,,,
7,7,,,,,,,,,,,,,,,0.5833333730697632,0.5285714268684387,0.9048028588294983,0.49579834938049316,0.550000011920929,0.5285714268684387,0.5308123826980591
7,7,,,,,,,,0.8666666746139526,0.699999988079071,0.3496166169643402,0.7462406158447266,0.9268292784690857,0.699999988079071,0.8433583974838257,,,,,,,
8,8,,,,,,,,,,,,,,,0.4166666567325592,0.3857142925262451,0.9172853827476501,0.3777778148651123,0.375,0.3857142925262451,0.4037037193775177
8,8,,,,,,,,0.8444444537162781,0.6499999761581421,0.3297621011734009,0.6853147149085999,0.9166666269302368,0.6499999761581421,0.809634804725647,,,,,,,
9,9,,,,,,,,,,,,,,,0.5,0.485714316368103,0.9423195719718933,0.485714316368103,0.485714316368103,0.485714316368103,0.5
9,9,,,,,,,,0.8666666746139526,0.699999988079071,0.29546424746513367,0.7462406158447266,0.9268292784690857,0.699999988079071,0.8433583974838257,,,,,,,
10,10,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.0001949071884155,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
10,10,,,,,,,,0.8666666746139526,0.735714316368103,0.26197290420532227,0.7719594240188599,0.8525640964508057,0.735714316368103,0.8536036014556885,,,,,,,
11,11,,,,,,,,,,,,,,,0.3333333432674408,0.34285715222358704,1.0580379962921143,0.3333333432674408,0.34285715222358704,0.34285715222358704,0.3333333730697632
11,11,,,,,,,,0.9333333373069763,0.9214285612106323,0.24350401759147644,0.9068322777748108,0.8943849802017212,0.9214285612106323,0.9344375133514404,,,,,,,
12,12,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.0964914560317993,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
12,12,,,,,,,,0.9111111164093018,0.9071428775787354,0.22727695107460022,0.8796791434288025,0.8598484992980957,0.9071428775787354,0.9138443470001221,,,,,,,
13,13,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.1406270265579224,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
13,13,,,,,,,,0.9555555582046509,0.9357142448425293,0.20445483922958374,0.9357142448425293,0.9357142448425293,0.9357142448425293,0.9555555582046509,,,,,,,
14,14,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.204872727394104,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
14,14,,,,,,,,0.9333333373069763,0.8500000238418579,0.18757759034633636,0.8912167549133301,0.9605263471603394,0.8500000238418579,0.928820788860321,,,,,,,
15,15,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.2806111574172974,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
15,15,,,,,,,,0.9333333373069763,0.8500000238418579,0.1760765016078949,0.8912167549133301,0.9605263471603394,0.8500000238418579,0.928820788860321,,,,,,,
16,16,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.3593255281448364,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
16,16,,,,,,,,0.9333333373069763,0.8857142925262451,0.1610751748085022,0.8999258279800415,0.9166666269302368,0.8857142925262451,0.9320484399795532,,,,,,,
17,17,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.4260727167129517,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
17,17,,,,,,,,0.9333333373069763,0.8857142925262451,0.1462492197751999,0.8999258279800415,0.9166666269302368,0.8857142925262451,0.9320484399795532,,,,,,,
18,18,,,,,,,,,,,,,,,0.4166666567325592,0.41428571939468384,1.4557496309280396,0.41258740425109863,0.4166666865348816,0.41428571939468384,0.4207459092140198
18,18,,,,,,,,0.9555555582046509,0.9357142448425293,0.13834244012832642,0.9357142448425293,0.9357142448425293,0.9357142448425293,0.9555555582046509,,,,,,,
19,19,0.7142857313156128,0.5,0.7279497981071472,0.4166666865348816,0.3571428656578064,0.5,0.5952381491661072,,,,,,,,,,,,,,
